id,title,artists,duration,genre,key,beat_grid,cue_pts,bpm,bpm_bucket
1060564312,Airwalk,Oak,247,['Electronic'],['8A'],"{'bpm': 107.0, 'init_beat': 1, 'start_pos': 0.076, 'time_sig': '4/4'}",[26.992],107.0,Chill / Downtempo
1064533332,Casin,glue70,106,['Electro'],['5A'],"{'bpm': 104.0, 'init_beat': 1, 'start_pos': 0.026000000000000002, 'time_sig': '4/4'}",[4.642],104.0,Chill / Downtempo
3135563,Veridis Quo,Daft Punk,345,['Dance'],['8A'],"{'bpm': 106.89, 'init_beat': 4, 'start_pos': 0.134, 'time_sig': '4/4'}",[0.412],106.89,Chill / Downtempo
3135561,Something About Us,Daft Punk,232,['Dance'],['7A'],"{'bpm': 99.98, 'init_beat': 1, 'start_pos': 0.42, 'time_sig': '4/4'}",[0.42],99.98,Chill / Downtempo
509568372,Live Another Day (M&F's Smoke & Mirrors Mix) (Club Master),"Matrix & Futurebound, Alex Hepburn",246,['Dance' 'Dance' 'Dance' 'Dance'],['9A' '9A' '9A' '9A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.07, 'time_sig': '4/4'}",[22.14  44.209],108.75,Chill / Downtempo
88449443,Afterglow,"Wilkinson, Becky Hill",225,['Electronic' 'Electronic' 'Electronic' 'Electronic'],['9A' '9A' '9A' '9A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.048, 'time_sig': '4/4'}",[21.427 22.117 33.151],108.75,Chill / Downtempo
489645822,Promises,Itro,184,['Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['5A' '5A' '5A' '5A'],"{'bpm': 108.75, 'init_beat': 1, 'start_pos': 0.027, 'time_sig': '4/4'}",[  5.543  27.613  82.785 104.854],108.75,Chill / Downtempo
3135564,Short Circuit,Daft Punk,206,['Dance'],['1A'],"{'bpm': 109.67, 'init_beat': 1, 'start_pos': 0.25, 'time_sig': '4/4'}",[0.25],109.67,Chill / Downtempo
489645852,All I Need,Nexus & Tight,313,['Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['12A' '12A' '12A' '12A' '12A'],"{'bpm': 104.4, 'init_beat': 1, 'start_pos': 0.026000000000000002, 'time_sig': '4/4'}",[22.095 44.164],104.4,Chill / Downtempo
1365318572,The Dizziness,Posij,204,['Electronica'],['10B'],"{'bpm': 124.0, 'init_beat': 1, 'start_pos': 0.23500000000000001, 'time_sig': '4/4'}",[15.718],124.0,House / Deep House
3135558,Nightvision,Daft Punk,104,['Dance'],['8B'],"{'bpm': 119.99, 'init_beat': 1, 'start_pos': 0.274, 'time_sig': '4/4'}",[0.274],119.99,House / Deep House
2266920127,City Lights,"Bop, Subwave",277,['Drum & Bass' '' 'Drum & Bass'],['7A' '7A' '7A'],"{'bpm': 113.33, 'init_beat': 1, 'start_pos': 0.14200000000000002, 'time_sig': '4/4'}",[ 22.713 135.654 158.242],113.33,House / Deep House
1358765162,Hardbody,Cyantific,293,['Dance' 'Dance' 'Dance'],['4A' '4A' '4A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.027, 'time_sig': '4/4'}",[22.095],116.0,House / Deep House
1239826092,Evil Sky,Drone,274,['Electro'],['2A'],"{'bpm': 120.0, 'init_beat': 1, 'start_pos': 0.051000000000000004, 'time_sig': '4/4'}",[ 0.051 32.052],120.0,House / Deep House
681681472,In Bleach,Dimension,310,['Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['1A' '1A' '1A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.025, 'time_sig': '4/4'}",[22.094 44.163],116.0,House / Deep House
683669232,Generator,Dimension,306,['Dance' 'Drum & Bass' 'Dance'],['4A' '4A' '4A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.27, 'time_sig': '4/4'}",[ 22.116  44.185  66.254 154.53  176.599 198.668],116.0,House / Deep House
3135557,Crescendolls,Daft Punk,211,['Dance'],['7B'],"{'bpm': 124.08, 'init_beat': 1, 'start_pos': 0.211, 'time_sig': '4/4'}",[0.211],124.08,House / Deep House
3135553,One More Time,Daft Punk,320,['Dance' 'French House'],['9B' '9B'],"{'bpm': 122.88, 'init_beat': 1, 'start_pos': 0.11800000000000001, 'time_sig': '4/4'}",[ 0.118 15.743 30.392 31.368 46.994 62.619 92.892],122.88,House / Deep House
3135554,Aerodynamic,Daft Punk,212,['Dance'],['10B'],"{'bpm': 122.88, 'init_beat': 1, 'start_pos': 0.323, 'time_sig': '4/4'}",[ 0.323 31.573],122.88,House / Deep House
3129775,Around the World,Daft Punk,429,['French House'],['9B'],"{'bpm': 121.29, 'init_beat': 4, 'start_pos': 0.036000000000000004, 'time_sig': '4/4'}",[16.36 32.19],121.29,House / Deep House
2350359795,Heat Wave,"Tsuruda, Alix Perez",220,[''],['2A'],"{'bpm': 120.0, 'init_beat': 1, 'start_pos': 0.073, 'time_sig': '4/4'}",[ 0.073 32.073],120.0,House / Deep House
1117818682,Unknown,"Mtwn, Fearful",302,['Electronica / Downtempo'],['2A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.051000000000000004, 'time_sig': '4/4'}",[5.1000e-02 3.3155e+01 6.6258e+01],116.0,House / Deep House
716493872,Solar System,Sub Focus,288,['Drum & Bass' 'Drum & Bass' 'Drum & Bass'],['4A' '4A' '4A'],"{'bpm': 116.0, 'init_beat': 1, 'start_pos': 0.256, 'time_sig': '4/4'}",[ 22.094  44.163  66.232 154.508 176.577],116.0,House / Deep House
3135565,Face to Face,Daft Punk,240,['Dance' 'French House'],['1A' '1A'],"{'bpm': 117.88, 'init_beat': 1, 'start_pos': 0.11900000000000001, 'time_sig': '4/4'}",[ 0.122  8.26  57.122 73.409],117.88,House / Deep House
408221052,Pump,Tantrum Desire,278,['Breakbeat' 'Breakbeat' 'Breakbeat'],['1A' '1A' '1A'],"{'bpm': 116.0, 'init_beat': 2, 'start_pos': 0.133, 'time_sig': '4/4'}",[ 0.477 22.546 44.615],116.0,House / Deep House
